,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0.283187776,0,0,0,0,0,0.253497962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0.607169161,0,0,0,0.237115219,0,0,0,0,0,0,0,0,0,0,0,0.408830532,0,0,0,0,0,0,0,0,0,0,0.451286389,0,0,0.540040497,0,0,0,0,0,0.449830779,0.379189236,0.41560566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0.36865439,1,0,0,0,0.52678672,0,0,0,0,0,0,0,0,0,0.516406892,0,0,0,0,0,0,0,0,0,0,0,0,0.623538137,0.330354391,0.372746427,0.860071365,0,0,0,0.656810179,0,0.49822289,0.463675898,0.542725446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,1,0,0.224125661,0,0.306574517,0,0,0,0,0,0,0,0,0.32108478,0,0,0,0,0,0.327835375,0,0,0,0,0,0,0,0,0.438311343,0,0,0.185819014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33908755
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343630735,0,0,0,0.228302512,0,0,0,0,0,0,0,0,0.465807943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0.080195316,0,0,0.050232312,0,1,0,0,0,0,0,0.293846877,0,0,0,0,0.215139315,0,0,0,0,-0.289216148,0.406321885,0,0,0,0,0,0,0,0,0.26306561,0,0.401842268,0,0.594370813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261154778,0,0,0,0.310548399
7,0,0,0.056223627,0.277504249,0,0,0,1,0,0,0,0.347991722,0,0,0,0,0,0.39787496,0,0,0,0,0,0,0,0,0,0,0,0,0.419952402,0.315143102,0,0.396403085,0,0,0,0.527907077,0,0.375476296,0,0.265019108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0.093987935,0,0,0,1,0,0,0,0,0.296281182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292153558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388238592
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.498959559,0,0,0,0,0,0,0,0,0.509338042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0.121098238,0,0,0,1,0.710814139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0.064261217,0,0,0,0,0.086345987,0,0,0,0,0.505256741,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305300043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0.087782539,0,0,0,0,1,0,0,0,0,0,0,0,0.280515814,0,0,0.423653089,0,0,0,0.353351576,0,0,0.533306336,0.40143939,0,0,0,0,0.340733851,0.079574908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.334975927,0,0,0,0,0,0,0,0.299609932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.546803222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112208872,0,1,0,0,0.333671109,0,0,0,0,0,0,0.450323975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243553892,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0.266676078,0.103095436,0,0.046284925,0.158304484,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547437799,0,0,0,0,0.532040554,0,0.399010533,0,0.302862354,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0.248960641,0,0,0,0,0,0,0,1,0,0,0.318731968,0,0,0,0,0,0.62911651,0.418054851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306650362,0,0,0,-0.377884229,0.35850804,0,0.352596439,0
19,0,0,0.167142404,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111336409,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.278298555,0,0,0.301942416,0,0,0,0,0,0,0,0.379329333,0,0.512492942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078689122,0,0,0,0,0.101590067,0,0.077450086,1,0,0,0.437532043,0,0,0,0.753758763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0.118082082,0.08364598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.233439877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0.107476033,0,0.165097474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.302914293,0,0.265012652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.300588847,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17948194,0.089766111,0,0,0,0,0,0.091169223,0.191434289,0,0,1,0,0,0,0.338268365,0,0,0,0,0,0,0,0,0,0.075024206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298993763,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0.052122037,0,0,0,0,0,0,0,0,0,0,0.202791683,0,0,0,0,0,0,0,0,0,1,0,0,0,0.212212992,0,0,0.172863354,0,0,0,0,0,0,0,0.222129483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0.259425241,0,0,0,0,0,0,0,0.395787583,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177276212,0,0,0,-0.349116145,0.266187173,0,0.340892195,0
28,0,0,0,0,0,0,0,0,0.085353702,0,0,0,0,0.124857337,0,0,0,0,0.174769858,0,0,0.568152273,0,0,0.114425487,0,0,0,1,0,0,0,0,0,0,0,0,0,0.173148965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332280281,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0.203659405,0.388799808,0,0,0,0.17636002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045034354,0,0,0,1,0,0,0.649589351,0,0,0,0.464191611,0,0,0,0.404186619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0.109134024,0,0,0,0.099315175,0,0,0,0,0,0.284415648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.458619621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332113395
32,0,0,0,0.138939898,0.192116833,0,0.069203515,0,0,0,0,0,0,0.161153584,0,0,0,0.299688143,0,0,0.143890743,0,0,0.091757069,0,0,0,0,0,0,0,0,1,0,0,0,0.156448778,0.37561237,0,0,0,0,0,0.405475143,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0.291643739,0.739722752,0,0,0,0.157135406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054494176,0,0,0,0.029881739,0,0,0,0.421966325,0,0,1,0,0,0,0.506650478,0,0.37703336,0.464970179,0.529716067,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0.161477208,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262649016,0,0,0.070231705,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0.034528706,0.21697704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0.353276663,0,0,0,0,0,0.093208116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02447622,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0.431399611,0,0,0,0.278685882,0,0,0,0,0,0.116099557,0,0,0,0.283067151,0,0,0,0,0,0,0,0,0,0,0,0,0.215473852,0.210331956,0.141084652,0.256694707,0,0,0,1,0,0.343544451,0,0.407692883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006332166,0,0,0,0,0,0,0,0,0,0,0.005628631,0,0,0,0.029980564,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0.20234773,0.248226048,0,0,0,0.140982449,0,0,0,0,0,0,0,0,0,0.159209405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142154155,0,0,0,0.11802279,0,1,0.485281429,0,0,0,0,0,0,0,0,0,0,0,0.371197321,0,0.350420847,0
40,0,0,0.143784477,0.214995338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216197267,0,0,0,0,0,0.235498065,1,0.395647615,0,0,0,0,0,0,0,0,0,-0.333681045,0,0,0.402739436,0
41,0,0,0.172728065,0.29455091,0,0,0,0.070235127,0,0,0,0,0,0,0,0,0,0.091725605,0,0,0,0,0,0,0,0,0.049341507,0,0,0,0.163366823,0,0,0.280599111,0,0,0,0.166213486,0,0,0.156537036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059318499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164410092,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.251634656,0,0,0,0,0,0,0.309947118,0.333802921
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.353184558,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094034445,0,0,0,0,0,0,0,0,0.031426856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06332,0,0,1,0.434903932,0,0,-0.392646603,0,0,0.282284581,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124739332,0.18914143,1,0,0,-0.394132437,0,0,0,0.36620653
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.351800571,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,0,0,0,0,0,0,0.068201818,0,0,0,0,0,0,0,0,0,0,0,0.142796491,0,0,0,0,0.090353655,0,0,0,0.121882083,0,0,0,0,0,0,0,0,0,0,0,0,0.11134304,0,0,0,0,0,0,0.154171355,0.155340378,0.123763642,0,1,-0.407749852,0,-0.425328119,-0.734291629
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128528015,0,0,0,0,0,0,0,0,0.070855611,0,0,0,0,0,0,0,0,0,0,0,0.137787451,0,0,0,0,0,0,0,0,0,0,0,0.166259942,1,0,0.501855769,0.378171448
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124324249,0,0,0,0,0,0,0,0,0.116207488,0.110410185,0,0,0,0,0,0,0,0,0,0,0.12279477,0.162199053,0,0,0,0.096067216,0,0,0.079684585,0,0,0,0.180904009,0.251859213,0,1,0.396947698
55,0,0,0,0,0.114980366,0,0.096440308,0,0.150729204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110299307,0,0,0,0,0,0,0,0,0,0,0,0,0.11142439,0,0,0,0.134107223,0,0,0.539184196,0.143013644,0,0.157567475,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
